Asia Park,2,4,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng",Asia%20Park&t=&z=17,,6 5 8,Đà Nẵng,https://i.imgur.com/ass6sYE.png
"Fantasy Park, Bà Nà Hill",3,4,"Hoà Phú, Hòa Vang, Đà Nẵng",Fantasy%20Park%2C%20B%C3%A0%20N%C3%A0%20Hill&t=&z=17,,6 5 3 4,Đà Nẵng,https://i.imgur.com/vjHymbU.png
Bãi biển Mỹ Khê,0,0,"Phước Mỹ, Sơn Trà, Đà Nẵng",B%C3%A3i%20bi%E1%BB%83n%20M%E1%BB%B9%20Kh%C3%AA&t=&z=17,,13,Đà Nẵng,https://i.imgur.com/RqePq3K.png
Núi Thần Tài,2,3,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng",N%C3%BAi%20Th%E1%BA%A7n%20T%C3%A0i&t=&z=17,,9 6 4,Đà Nẵng,https://i.imgur.com/7KrabM0.png
"Cầu Rồng, Dragon Bridge",0,0,"An Hải Trung, Sơn Trà, Đà Nẵng",C%E1%BA%A7u%20R%E1%BB%93ng%2C%20Dragon%20Bridge&t=&z=17,,3,Đà Nẵng,https://i.imgur.com/lIYTm2E.png
Cáp treo Bà Nà,3,3,"Hòa Vang, Đà Nẵng",C%C3%A1p%20treo%20B%C3%A0%20N%C3%A0&t=&z=17,,4 8 12,Đà Nẵng,https://i.imgur.com/P2E3KO0.png
Làng hoa tình yêu Bà Nà,3,3,"Hòa Vang, Đà Nẵng",Sun%20World%20B%C3%A0%20N%C3%A0%20Hills&t=&z=17,,4,Đà Nẵng,https://i.imgur.com/XxGVPJ2.png
Đèo Hải Vân,0,0,"Lăng Cô, Phú Lộc, Thừa Thiên Huế",%C4%90%C3%A8o%20H%E1%BA%A3i%20V%C3%A2n&t=&z=17,,4 12,Thừa Thiên-Huế,https://i.imgur.com/49G1LlV.png
Cầu Tình Yêu,0,0,"Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng",C%E1%BA%A7u%20T%C3%ACnh%20Y%C3%AAu%2C%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=17,,3,Đà Nẵng,https://i.imgur.com/rOtiXJl.png
Cù Lao Chàm,2,3,"Tân Hiệp, Hội An, Quảng Nam",C%C3%B9%20Lao%20Ch%C3%A0m&t=&z=17,,4 5 13 6,Quảng Nam,https://i.imgur.com/z4nPZML.png
Rạn Nam Ô,1,2,"Nam Ô 1, Liên Chiểu, Đà Nẵng",R%E1%BA%A1n%20Nam%20%C3%94&t=&z=17,,4 5 6 13,Đà Nẵng,https://i.imgur.com/XqglwAt.png
Hồ Đồng Xanh - Đồng Nghệ,1,2,"Hòa Khương, Hòa Vang, Đà Nẵng",H%E1%BB%93%20%C4%90%E1%BB%93ng%20Xanh%20-%20%C4%90%E1%BB%93ng%20Ngh%E1%BB%87&t=&z=13,,4 6 9,Đà Nẵng,https://i.imgur.com/IM86ufe.png
Ghềnh Bàng,1,2,"Hoàng Sa, Thọ Quang, Sơn Trà, Vietnam, Đà Nẵng",Gh%E1%BB%81nh%20B%C3%A0ng&t=&z=13,,4 13,Đà Nẵng,https://i.imgur.com/U4A3or1.png
Làng Bích Họa Tam Thanh,1,2,"Tam Kỳ, Quảng Nam",L%C3%A0ng%20B%C3%ADch%20H%E1%BB%8Da%20Tam%20Thanh&t=&z=13,,3 11,Đà Nẵng,https://i.imgur.com/OxaYbNd.png
Rừng ngập mặn nguyên sinh Rú Chá,1,2,Thừa Thiên Huế,R%E1%BB%ABng%20ng%E1%BA%ADp%20m%E1%BA%B7n%20nguy%C3%AAn%20sinh%20R%C3%BA%20Ch%C3%A1&t=&z=13,,4 5 9 14,Thừa Thiên-Huế,https://i.imgur.com/oqxBdmj.png
Bãi Rạng,2,3,"Sơn Trà, Đà Nẵng",B%C3%A3i%20R%E1%BA%A1ng&t=&z=13,,4 5 6 13,Đà Nẵng,https://i.imgur.com/GeqOZCo.png
Vườn quốc gia Bạch Mã,0,0,"Phú Lộc, Thừa Thiên Huế",V%C6%B0%E1%BB%9Dn%20qu%E1%BB%91c%20gia%20B%E1%BA%A1ch%20M%C3%A3&t=&z=13,,4 12 14,Đà Nẵng,https://i.imgur.com/BaTUCWv.png
Đỉnh Bàn Cờ,0,0,"Thọ Quang, Sơn Trà, Đà Nẵng",%C4%90%E1%BB%89nh%20B%C3%A0n%20C%E1%BB%9D&t=&z=13,,3 12,Đà Nẵng,https://i.imgur.com/thWSfBp.png
Chùa Linh Ứng,0,0,"Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng",Ch%C3%B9a%20Linh%20%E1%BB%A8ng%2C%20Ho%C3%A0ng%20Sa&t=&z=13,,1,Đà Nẵng,https://i.imgur.com/4EkMUfT.png
Ngũ Hành Sơn,1,2,"52 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Ng%C5%A9%20H%C3%A0nh%20S%C6%A1n&t=&z=13,,4 12,Đà Nẵng,https://i.imgur.com/2pEzDcM.png
Bảo tàng điêu khắc Chăm,1,2,"02 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng",B%E1%BA%A3o%20t%C3%A0ng%20%C4%91i%C3%AAu%20kh%E1%BA%AFc%20Ch%C4%83m&t=&z=13,,3,Đà Nẵng,https://i.imgur.com/KnVEM3d.png
Thánh địa Mỹ Sơn,1,2,"Duy Phú, Duy Xuyên, Quảng Nam",Th%C3%A1nh%20%C4%91%E1%BB%8Ba%20M%E1%BB%B9%20S%C6%A1n&t=&z=13,,3,Quảng Nam,https://i.imgur.com/kngkiOv.png
Cầu Sông Hàn,0,0,"An Hải Bắc, Sơn Trà, Đà Nẵng",C%E1%BA%A7u%20S%C3%B4ng%20H%C3%A0n&t=&z=13,,3,Đà Nẵng,https://i.imgur.com/UNnEMUH.png
Quán Trần - Bánh tráng cuốn thịt heo,2,3,"300 Hải Phòng, Chính Gián, Thanh Khê, Đà Nẵng",Qu%C3%A1n%20%C4%90%E1%BA%B7c%20s%E1%BA%A3n%20Tr%E1%BA%A7n&t=&z=13,,5,Đà Nẵng,https://i.imgur.com/9NlHJu9.png
Hải sản Bà Thôi 3,2,3,"Võ Nguyên Giáp, Mân Thái, Sơn Trà, Đà Nẵng",H%E1%BA%A3i%20S%E1%BA%A3n%20B%C3%A0%20Th%C3%B4i%203%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,5,Đà Nẵng,https://i.imgur.com/CuquX12.png
Vinpearl Resort & Spa Da Nang,4,5,"23 Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Vinpearl%20Resort%20%26%20Spa%20Da%20Nang&t=&z=13,,6 7 13 10,Đà Nẵng,https://i.imgur.com/QHFjmBb.png
Furama Resort Danang,5,5,"105 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Furama%20Resort%20Danang&t=&z=13,,6 7 13,Đà Nẵng,https://i.imgur.com/rmMyWzZ.png
Bảo tàng Đà Nẵng,1,2,"24 Đường Trần Phú, Thạch Thang, Hải Châu, Đà Nẵng",B%E1%BA%A3o%20t%C3%A0ng%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,3,Đà Nẵng,https://i.imgur.com/OGlXnPq.png
Trà sữa Bobapop,1,3,"28 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng",Tr%C3%A0%20s%E1%BB%AFa%20Bobapop%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,5,Đà Nẵng,https://i.imgur.com/XNUbHtx.png
Herbal Spa,3,4,"102 Dương Đình Nghệ, An Hải Bắc, Sơn Trà, Đà Nẵng",Herbal%20Spa%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,7,Đà Nẵng,https://i.imgur.com/wzp5YvM.png
Công viên 29/3,1,2,"33 Nguyễn Tri Phương, Thạc Gián, Thanh Khê, Đà Nẵng",C%C3%B4ng%20vi%C3%AAn%2029%2F3&t=&z=13,,3 6,Đà Nẵng,https://i.imgur.com/g3SlgeE.png
Bãi tắm Phạm Văn Đồng,0,0,"Hòa Minh, Liên Chiểu, Đà Nẵng",B%C3%A3i%20t%E1%BA%AFm%20Ph%E1%BA%A1m%20V%C4%83n%20%C4%90%E1%BB%93ng&t=&z=13,,13,Đà Nẵng,https://i.imgur.com/aMDjOWN.png
Chùa Non Nước,0,0,"98 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Ch%C3%B9a%20Non%20N%C6%B0%E1%BB%9Bc%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,1,Đà Nẵng,https://i.imgur.com/naEHpSm.png
